29.5,71.0,1011.25,114.0,376.0,Safe
29.5,71.0,1011.25,115.0,382.0,Safe
29.5,71.0,1011.18,116.0,378.0,Safe
29.5,71.0,1011.25,116.0,378.0,Safe
29.5,71.0,1011.31,116.0,377.0,Safe
29.5,71.0,1011.23,116.0,383.0,Safe
29.5,71.0,1011.22,116.0,381.0,Safe
29.5,71.0,1011.25,116.0,378.0,Safe
29.5,71.0,1011.15,116.0,376.0,Safe
29.5,71.0,1011.23,116.0,382.0,Safe
29.5,71.0,1011.21,116.0,379.0,Safe
29.5,71.0,1011.16,116.0,379.0,Safe
29.5,71.0,1011.26,116.0,375.0,Safe
29.5,71.0,1011.2,115.0,378.0,Safe
29.5,71.0,1011.25,116.0,379.0,Safe
29.5,71.0,1011.25,116.0,376.0,Safe
29.5,71.0,1011.26,116.0,373.0,Safe
29.5,71.0,1011.23,116.0,379.0,Safe
29.5,71.0,1011.23,116.0,380.0,Safe
29.5,71.0,1011.18,116.0,376.0,Safe
29.5,71.0,1011.22,116.0,371.0,Safe
29.5,71.0,1011.25,116.0,380.0,Safe
29.5,71.0,1011.25,116.0,379.0,Safe
29.5,71.0,1011.25,116.0,378.0,Safe
29.5,71.0,1011.28,116.0,376.0,Safe
29.5,71.0,1011.26,116.0,375.0,Safe
29.5,71.0,1011.27,116.0,380.0,Safe
29.5,71.0,1011.22,116.0,379.0,Safe
29.5,71.0,1011.24,116.0,371.0,Safe
29.5,71.0,1011.3,116.0,378.0,Safe
29.5,71.0,1011.3,116.0,379.0,Safe
29.5,71.0,1011.2,116.0,379.0,Safe
29.5,71.0,1011.26,116.0,374.0,Safe
29.5,71.0,1011.25,116.0,380.0,Safe
29.5,71.0,1011.28,116.0,379.0,Safe
29.5,71.0,1011.22,115.0,378.0,Safe
29.5,71.0,1011.22,115.0,377.0,Safe
29.5,71.0,1011.24,116.0,378.0,Safe
29.5,71.0,1011.26,115.0,374.0,Safe
29.4,71.0,1011.28,116.0,376.0,Safe
29.5,71.0,1011.32,116.0,377.0,Safe
29.5,71.0,1011.29,116.0,375.0,Safe
29.5,71.0,1011.21,116.0,377.0,Safe
29.5,71.0,1011.22,115.0,377.0,Safe
29.4,71.0,1011.29,115.0,375.0,Safe
29.5,71.0,1011.29,116.0,379.0,Safe
29.4,71.0,1011.25,115.0,374.0,Safe
29.4,71.0,1011.3,116.0,379.0,Safe
29.4,71.0,1011.22,115.0,376.0,Safe
29.5,71.0,1011.32,115.0,375.0,Safe
29.4,71.0,1011.29,116.0,378.0,Safe
29.4,71.0,1011.27,115.0,378.0,Safe
29.4,71.0,1011.31,116.0,379.0,Safe
29.5,71.0,1011.3,115.0,378.0,Safe
29.4,71.0,1011.28,115.0,381.0,Safe
29.4,71.0,1011.3,116.0,372.0,Safe
29.5,71.0,1011.3,116.0,381.0,Safe
29.4,71.0,1011.23,116.0,378.0,Safe
29.4,71.0,1011.25,123.0,371.0,Safe
29.4,71.0,1011.27,111.0,369.0,Safe
29.5,71.0,1011.28,108.0,371.0,Safe
29.5,71.0,1011.28,107.0,375.0,Safe
29.4,71.0,1011.28,106.0,372.0,Safe
29.4,71.0,1011.28,106.0,370.0,Safe
29.4,71.0,1011.26,106.0,369.0,Safe
29.5,71.0,1011.3,107.0,370.0,Safe
29.4,71.0,1011.26,107.0,367.0,Safe
29.4,71.0,1011.31,107.0,374.0,Safe
29.5,71.0,1011.28,107.0,367.0,Safe
29.4,71.0,1011.34,109.0,374.0,Safe
29.4,71.0,1011.31,109.0,370.0,Safe
29.5,71.0,1011.32,109.0,370.0,Safe
29.4,71.0,1011.33,108.0,369.0,Safe
29.5,71.0,1011.29,108.0,374.0,Safe
29.5,71.0,1011.3,107.0,373.0,Safe
29.4,71.0,1011.32,107.0,368.0,Safe
29.4,71.0,1011.28,107.0,372.0,Safe
29.4,71.0,1011.3,108.0,369.0,Safe
29.4,71.0,1011.31,108.0,372.0,Safe
29.4,71.0,1011.3,108.0,372.0,Safe
29.4,71.0,1011.36,108.0,373.0,Safe
29.4,71.0,1011.33,108.0,370.0,Safe
29.4,71.0,1011.36,108.0,370.0,Safe
29.4,71.0,1011.28,108.0,368.0,Safe
29.4,71.0,1011.35,108.0,370.0,Safe
29.4,71.0,1011.33,108.0,371.0,Safe
29.4,71.0,1011.32,107.0,372.0,Safe
29.4,71.0,1011.33,108.0,371.0,Safe
29.4,71.0,1011.3,107.0,368.0,Safe
29.4,71.0,1011.32,107.0,372.0,Safe
29.4,71.0,1011.3,108.0,368.0,Safe
29.4,71.0,1011.33,107.0,378.0,Safe
29.4,71.0,1011.25,107.0,373.0,Safe
29.4,71.0,1011.3,107.0,370.0,Safe
29.4,71.0,1011.31,108.0,370.0,Safe
29.5,71.0,1011.35,109.0,373.0,Safe
29.5,71.0,1011.29,108.0,369.0,Safe
29.4,71.0,1011.31,108.0,365.0,Safe
29.5,71.0,1011.35,108.0,366.0,Safe
29.4,71.0,1011.33,108.0,377.0,Safe
29.5,71.0,1011.31,108.0,374.0,Safe
29.4,71.0,1011.29,108.0,370.0,Safe
29.5,71.0,1011.31,108.0,371.0,Safe
29.4,71.0,1011.34,108.0,369.0,Safe
29.5,71.0,1011.32,108.0,368.0,Safe
29.5,71.0,1011.31,108.0,371.0,Safe
29.4,71.0,1011.31,108.0,372.0,Safe
29.4,71.0,1011.32,108.0,369.0,Safe
29.5,71.0,1011.29,108.0,370.0,Safe
29.4,71.0,1011.25,107.0,369.0,Safe
